# Density Distribution Data
# NodeID, X, Y, Z, Density
1, 0.000000, 0.000000, 0.000000, 0.992073
2, 100.000000, 0.000000, 0.000000, 0.100088
3, 100.000000, 10.000000, 0.000000, 0.142758
4, 0.000000, 10.000000, 0.000000, 0.906719
5, 0.000000, 0.000000, 10.000000, 0.957959
6, 100.000000, 0.000000, 10.000000, 0.145991
7, 100.000000, 10.000000, 10.000000, 0.102593
8, 0.000000, 10.000000, 10.000000, 0.901181
9, 2.000000, 0.000000, 0.000000, 0.941036
10, 4.000000, 0.000000, 0.000000, 0.878491
11, 6.000000, 0.000000, 0.000000, 0.901180
12, 8.000000, 0.000000, 0.000000, 0.896526
13, 10.000000, 0.000000, 0.000000, 0.969674
14, 12.000000, 0.000000, 0.000000, 0.856304
15, 14.000000, 0.000000, 0.000000, 0.894158
16, 16.000000, 0.000000, 0.000000, 0.892775
17, 18.000000, 0.000000, 0.000000, 0.796306
18, 20.000000, 0.000000, 0.000000, 0.793530
19, 22.000000, 0.000000, 0.000000, 0.742913
20, 24.000000, 0.000000, 0.000000, 0.783688
21, 26.000000, 0.000000, 0.000000, 0.793315
22, 28.000000, 0.000000, 0.000000, 0.706575
23, 30.000000, 0.000000, 0.000000, 0.728682
24, 32.000000, 0.000000, 0.000000, 0.624157
25, 34.000000, 0.000000, 0.000000, 0.623850
26, 36.000000, 0.000000, 0.000000, 0.640858
27, 38.000000, 0.000000, 0.000000, 0.660076
28, 40.000000, 0.000000, 0.000000, 0.627894
29, 42.000000, 0.000000, 0.000000, 0.647083
30, 44.000000, 0.000000, 0.000000, 0.579933
31, 46.000000, 0.000000, 0.000000, 0.577998
32, 48.000000, 0.000000, 0.000000, 0.564101
33, 50.000000, 0.000000, 0.000000, 0.604032
34, 52.000000, 0.000000, 0.000000, 0.501521
35, 54.000000, 0.000000, 0.000000, 0.569879
36, 56.000000, 0.000000, 0.000000, 0.478734
37, 58.000000, 0.000000, 0.000000, 0.440282
38, 60.000000, 0.000000, 0.000000, 0.520076
39, 62.000000, 0.000000, 0.000000, 0.418826
40, 64.000000, 0.000000, 0.000000, 0.449921
41, 66.000000, 0.000000, 0.000000, 0.249813
42, 68.000000, 0.000000, 0.000000, 0.405643
43, 70.000000, 0.000000, 0.000000, 0.416362
44, 72.000000, 0.000000, 0.000000, 0.338322
45, 74.000000, 0.000000, 0.000000, 0.366592
46, 76.000000, 0.000000, 0.000000, 0.337934
47, 78.000000, 0.000000, 0.000000, 0.303318
48, 80.000000, 0.000000, 0.000000, 0.321553
49, 82.000000, 0.000000, 0.000000, 0.241398
50, 84.000000, 0.000000, 0.000000, 0.180171
